instance,n_customers,coverage,coverage_pct,omega,placement_seed,solver_seed,base_tabu_tenure,max_iter,shake_tenure,shake_iter,shake_steps,opt_iter,phi,use_candidate_lists,use_extended_operators,best_cost,vehicles,iterations_done,moves_generated,moves_evaluated,moves_skipped_validity,moves_skipped_tabu,shakes,solver_time_sec,candidate_pairs,selected_arcs,applied_arcs,total_reduction,frvcp_calls,frvcp_total_time_sec,frvcp_avg_time_ms,error,experiment
tc1c10s2ct3.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,11.815316456247636,2,100,39612,18670,20942,87,4,1.9806230068206787,45,26,26,163228.62831612796,,,,,multiseed_replication
tc1c10s2ct4.xml,10,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,11.835818172185498,2,100,40284,13742,26542,189,4,1.9651618003845213,45,8,8,63155.16621539975,,,,,multiseed_replication
tc1c10s2ct4.xml,10,0.2,20%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,11.835818172185498,2,100,40204,13333,26871,127,4,1.885329008102417,45,18,16,147264.89583172757,,,,,multiseed_replication
tc1c10s2ct4.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,11.574052740873856,2,100,40121,12840,27281,382,4,1.752527952194214,45,26,24,191530.0241846431,,,,,multiseed_replication
tc1c10s3cf2.xml,10,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,9.034038924913109,3,100,41068,24662,16406,464,4,3.4651029109954834,45,8,8,57106.6736615076,,,,,multiseed_replication
tc1c10s3cf2.xml,10,0.2,20%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,9.034038924913109,3,100,41039,24608,16431,709,4,3.4330341815948486,45,18,16,113810.69726229268,,,,,multiseed_replication
tc1c10s3cf2.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,8.88918196986262,2,100,38689,20459,18230,769,4,3.005542039871216,45,26,24,161323.3552157945,,,,,multiseed_replication
tc1c10s3cf3.xml,10,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,13.022969438076942,2,100,40257,18249,22008,200,4,2.21492886543274,45,8,8,45188.34723496623,,,,,multiseed_replication
tc1c10s3cf3.xml,10,0.2,20%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,12.99738986253432,2,100,40326,18391,21935,609,4,2.431813716888428,45,18,18,87945.32059023496,,,,,multiseed_replication
tc1c10s3cf3.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,12.99738986253432,2,100,40269,18142,22127,491,4,2.4429030418396,45,26,24,136585.98005370438,,,,,multiseed_replication
tc1c10s3cf4.xml,10,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,12.664240625939758,2,100,40200,12876,27324,16,5,2.5951499938964844,45,8,8,39776.6660057023,,,,,multiseed_replication
tc1c10s3cf4.xml,10,0.2,20%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,11.95603412831059,2,100,40261,13113,27148,134,4,1.960932731628418,45,18,18,144925.3206183206,,,,,multiseed_replication
tc1c10s3cf4.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,11.95603412831059,2,100,40411,12896,27515,192,4,1.898406744003296,45,26,26,207344.62812445773,,,,,multiseed_replication
tc1c10s3ct2.xml,10,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,8.968669638611152,3,100,41050,24590,16460,546,4,4.087407112121582,45,8,6,50847.3646235093,,,,,multiseed_replication
tc1c10s3ct2.xml,10,0.2,20%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,8.968669638611152,3,100,40403,23004,17399,957,4,3.887202024459839,45,18,14,117686.1201993136,,,,,multiseed_replication
tc1c10s3ct2.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,8.96796698026522,3,100,40418,23040,17378,870,4,4.084819078445435,45,26,20,126023.40765034949,,,,,multiseed_replication
tc1c10s3ct3.xml,10,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,12.700987442132192,2,100,40194,18291,21903,340,4,2.2536749839782715,45,8,8,25225.0569032392,,,,,multiseed_replication
tc1c10s3ct3.xml,10,0.2,20%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,12.692910011178366,2,100,40194,18291,21903,340,4,2.2305593490600586,45,18,18,61531.712897939695,,,,,multiseed_replication
tc1c10s3ct3.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,12.692910011178366,2,100,40194,18297,21897,306,4,2.255308151245117,45,26,26,112429.88967174782,,,,,multiseed_replication
tc1c10s3ct4.xml,10,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,12.838966907463972,2,100,40194,12372,27822,136,4,1.964061975479126,45,8,8,64199.325787792535,,,,,multiseed_replication
tc1c10s3ct4.xml,10,0.2,20%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,11.97701022564917,2,100,39606,9716,29890,164,4,1.836148023605347,45,18,18,155840.48406191968,,,,,multiseed_replication
tc1c10s3ct4.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,11.931071433734694,2,100,39739,10356,29383,305,4,1.926023006439209,45,26,26,208696.887691358,,,,,multiseed_replication
tc2c10s2cf0.xml,10,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,13.266192040369592,2,100,40316,20196,20120,154,4,2.2382519245147705,45,8,8,42072.30358140104,,,,,multiseed_replication
tc2c10s2cf0.xml,10,0.2,20%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,12.92361207746352,2,100,40257,16981,23276,111,4,2.235802173614502,45,18,18,121806.75194880494,,,,,multiseed_replication
