coverage,mean_pct,std_pct,ci95_pct,min_pct,max_pct,fleet_reduction_rate_pct,non_deteriorating
10%,9.744510528692542,9.75477890772285,1.1038571487387776,-0.19376496319606537,40.59511718968269,31.0,299/300
20%,13.77845403903829,11.57311566978692,1.3096213236735743,0.0,45.93652522481671,44.333333333333336,300/300
30%,15.71171647626799,12.074030321495625,1.3663051526385634,0.0,46.26478550126151,52.666666666666664,300/300
