ablation,n,mean_cost,mean_vehicles,mean_solver_time_sec,mean_frvcp_calls,mean_frvcp_ms
baseline,60,18.01295073162798,3.683333333333333,192.95082858403524,25502.633333333335,0.3487658936128017
no_candidate_filtering,20,26.630570422765466,5.6,643.0381094813347,54659.9,0.5167362216438919
no_extended_operators,60,18.635665012044974,3.8,173.69212117989858,14681.466666666667,0.3340606972080798
no_filter_no_extended,20,28.014770836907495,5.95,377.275441801548,33284.25,0.48721329521832857
no_shaking,60,18.085865820496455,3.683333333333333,196.28036773204803,22690.0,0.34540604489046556
