ablation,n,mean_cost,mean_vehicles,mean_solver_time_sec,mean_frvcp_calls,mean_frvcp_ms
baseline,60,18.01295073162798,3.683333333333333,192.95082858403524,25502.63333333333,0.3487658936128017
no_candidate_filtering,20,26.630570422765462,5.6,643.0381094813347,54659.9,0.5167362216438919
no_extended_operators,60,18.63566501204497,3.8,173.69212117989858,14681.466666666667,0.3340606972080798
no_filter_no_extended,20,28.01477083690749,5.95,377.275441801548,33284.25,0.4872132952183285
no_shaking,60,18.08586582049645,3.683333333333333,196.28036773204803,22690.0,0.3454060448904655
